Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:54:48.297877042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.298296083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.298786917+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.299170167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.299660958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.300044792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.300535542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.300919000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.302247792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.302667458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.303158000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.303541708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.304032375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.304415958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.305745167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.306164333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.306655125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.307038500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.308367542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.308787167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.309243000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.309661458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.310990833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.311409750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.311867458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.312284083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.312774375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.313158333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.314490417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.314906667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.316237875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.316655250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.317984042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.318404042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.318894292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.319278125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.319769000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.320152458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.320643083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.321026667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.321485375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.321900875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.323231958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.323649250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.324107458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.324523500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.325014167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.325397833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.325888208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.326272083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.326763125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.327146375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.328475750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.328894750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.330224625+00:00,0,1,1,1,1,1,1,1
