Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:49:42.879723042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.881081583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.881471375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.882830625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.883219833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.883706167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.884094125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.884580625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.884968292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.886327333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.886716750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.887203417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.887590833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.888078250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.888465250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.967936333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.971357625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.973152792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.973542583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.974029042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.974416792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.974904458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.975290917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.976650333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.977039333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.978398625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.978787875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.979274458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.979661958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.981021125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.981410375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.981896833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.982284625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.982770500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.983158917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.983645292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.984033042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.985393167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.985781583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.986267875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.986655875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.987142333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.987530208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.988889375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.989278500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.989764833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.990152833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.991511375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.991901083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.992388750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.992775292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.994134417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.994523792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.995010542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.995397875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.995885625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.996272167+00:00,1,1,1,1,1,1,1,1
