Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:56:45.279263875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.279679958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.280174208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.280554583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.281920542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.282303125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.282796250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.283176958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.284505958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.284925750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.285418667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.285800042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.286293667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.286674375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.288003375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.288422583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.288916083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.289296750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.289790583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.290171042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.290664417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.291045083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.291538708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.291919333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.292413042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.292793750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.294159750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.294542417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.295036542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.295416500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.296782375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.297165083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.298530958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.298913250+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.300243542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.300661792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.301155583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.301536042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.302030125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.302410458+00:00,1,1,1,1,1,1,1,1
